,Equipment,Sub equipment (if applicable),Down time issue,Machine/ process stop time,Machine/ process start time,Time taken (Duration),"Type (B/D, PM, SC, Process)",Attended by - department,Attended by - senior PM/ PC/ other,Issue,Temporary action taken
1234,sector ladle ,sector ladle ,sector ladle prob & came roller change ,8:35,11:00,2.42,B/D,Mechanical,,Cam Roller not rotating due to Metal Jam (During Sleeve Change),Cam Roller Change
1235,Extractor ,Extractor ,Extractor centering done,12:55,13:26,0.52,B/D,Mechanical,,,
1236,flag gate,flag gate,skt side flag gate hydrulic oil leakage,14:25,15:00,0.58,B/D,Mechanical,,,
1237,PTT,PTT,PTT movment prob ,22:17,23:00,0.72,B/D,Mechanical,,PTT movement Problem due to Socket side Wheel Assembly Bearing Damage,"Wheel Assembly change, OK in trial"
1238,PTT,PTT,PTT movment prob ,3:37,3:50,0.22,B/D,Mechanical,,,
1239,Core ring ,Core ring ,Core ring change,8:10,8:38,0.47,B/D,Mechanical,,,
1240,Core loader,Core loader,Core loader centering done,9:35,10:10,0.58,B/D,Mechanical,,,
1241,Extractor ,Extractor ,Extractor prob,6:37,6:51,0.23,B/D,Mechanical,,,
1242,Dial gauge ,Dial gauge ,Dial gauge checking ,14:52,15:06,0.23,B/D,Mechanical,,,
1243,CCM,CCM,under mechanical,13:00,14:00,1,B/D,Mechanical,,,
1244,Core ring ,Core ring ,Core ring change,7:10,7:45,0.58,B/D,Mechanical,,,
1245,Core ring ,Core ring ,Core ring change,20:40,21:15,0.58,B/D,Mechanical,,Core Burst,"Core Loader checked & found ok but still Core Loader Changed (Instructed by Casting), compression 0.16mm. OK in Trial for 3 pipes."
1246,Mould,Mould,mould change due to mould vibration,7:10,8:20,1.17,B/D,Mechanical,,,
1247,Core ring ,Core ring ,Core ring change,8:45,8:52,0.12,B/D,Mechanical,,,
1248,Dial gauge ,Dial gauge ,Dial gauge checking ,7:00,7:40,0.67,B/D,Mechanical,,Thickness Variation  ,Alignment work done (Dial from 2.2mm to 1.1mm)
1249,Core loader,Core loader,Core loader centering & core ring change ,9:00,9:48,0.8,B/D,Mechanical,,Core Burst,Core Loader Changed and alignment work done
1250,Mould,Mould,mould vibration,6:47,7:56,1.15,B/D,Mechanical,,Mould Vibration,Tried to arrest by tightening bolts but vibration didn't arrested so sleeve changing work done
1251,Mould,Mould,mould vibration,11:25,14:38,3.22,B/D,Mechanical,,Middle Sleeve pressing Unit Bolt Broken ,Sleeve Pressing Unit changing work done
1252,Mould,Mould,water leakage from spt side,6:23,6:50,0.45,B/D,Mechanical,,Spigot Seal Water Leakage,Arrested by scaling
1253,Extractor ,Extractor ,Extractor centering done,13:30,14:10,0.67,B/D,Mechanical,,,
1254,MTC,MTC,MTC gland tight ,0:10,0:30,0.33,B/D,Mechanical,,Huge Oil Leakage from MTC Gland,MTC Gand tightening after Mould Change
1255,CCM,CCM,C/B prob,7:00,7:15,0.25,B/D,Mechanical,,,
1256,Dial gauge ,Dial gauge ,Dial gauge checking ,1:45,1:55,0.17,B/D,Mechanical,,,
1257,Fixed ladle,Fixed ladle,hydrulic oil leakage from f/l area,23:46,0:22,0.6,B/D,Mechanical,,Huge Oil Leakage from Fixed Ladle Operated Valve as O-ring was cut,O-Ring Changed
1258,Dial gauge ,Dial gauge ,Dial gauge checking ,9:07,9:15,0.13,B/D,Mechanical,,,
1259,Mould,Mould,water leakage from spt side,9:05,9:30,0.42,B/D,Mechanical,,Spigot Seal Water Leakage,Arrested by scaling
1260,Mould,Mould,mould change due to water leakage from spt side,11:55,13:12,1.28,B/D,Mechanical,,,
1261,Mould,Mould,water leakage from spt side,14:12,14:24,0.2,B/D,Mechanical,,,
1262,Mould,Mould,water leakage from spt side,13:11,13:18,0.12,B/D,Mechanical,,,
1263,Mould,Mould,water leakage from spt side (sleeve not ready ),4:45,6:00,1.25,B/D,Mechanical,,V-seal Water Leakage (HB No.1 Sl.2),"Machine stop as sleeve not ready, sleeve changed"
1264,MTC,MTC,MTC cylinder bolt open ,1:23,2:40,1.28,B/D,Mechanical,,MTC Back port pipeline second flage Oil Leakage,O-Ring changed then OK in trial
1265,diabola,diabola,diabola derail,4:46,5:20,0.57,B/D,Mechanical,,B-side Diabola Trolley derail due to spigot metal,Metal Cleaned & trolley repositioned
1266,MTC,MTC,MTC gland tight ,7:50,8:10,0.33,B/D,Mechanical,,,
1267,Mould,Mould,water leakage from spt side (sleeve not ready ),6:00,8:35,2.58,B/D,Mechanical,,,
1268,Core loader,Core loader,Core loader centering check,11:55,12:05,0.17,B/D,Mechanical,,,
1269,ccm,ccm,hydrulic oil leakage ,14:00,14:28,0.47,B/D,Mechanical,,,
1270,MTC,MTC,MTC gland tight ,15:12,15:41,0.48,B/D,Mechanical,,,
1271,trough,trough,B side trough supporting roller height adjustment,21:31,21:38,0.12,B/D,Mechanical,,,
1272,MTC,MTC,MTC accumulator change ,10:45,11:19,0.57,B/D,Mechanical,,,
1273,Mould,Mould,mould vibration,11:45,12:45,1,B/D,Mechanical,,Oval Pipe due to Mould Vibration in spigot (Sl.1),"Sleeve change ( DN 600-800 sleeve replaced with DN400-600), so V-Belt replaced and dial at 0.3mm [Core Loader & Extractor checked (Comp. 0.16mm) ]"
1274,Core ring ,Core ring ,Core ring & v belt change ,12:45,13:30,0.75,B/D,Mechanical,,,
1275,ccm,ccm,under mechanical,5:30,6:00,0.5,B/D,Mechanical,,,
1276,core loader,core loader,C/B prob,9:10,9:35,0.42,B/D,Mechanical,,Core Burst (1 Time),Core Loader Changed & Aligned (comp. 0.14m)
1277,MTC,MTC,MTC hydrulic oil leakage ,16:42,17:00,0.3,B/D,Mechanical,,MTC Gland Leakage,Gland Tightened  
1278,ccm,ccm,under mechanical,6:00,7:00,1,B/D,Mechanical,,,
1279,Mould,Mould,water leakage from spt side ,7:35,9:25,1.83,B/D,Mechanical,,Water Leakage from Spigot Mould Seal (Sleeve DN 400-600),Seal changed planned but as New Mould was being used so Sleeve changed
1280,Mould,Mould,thickness variation,10:00,10:45,0.75,B/D,Mechanical,,Spigot side Vibration due to which thickness variation of 1mm to 2mm (Sl.No 2 of DN 600 - DN 600-800 sleeve),Soket Dial done from 0.35mm to 0.3mm and found spigot dial reduced from 0.6mm to 0.35mm
1281,Dial gauge ,Dial gauge ,Dial gauge checking ,11:12,11:26,0.23,B/D,Mechanical,,,
1282,Mould,Mould,Mould change due to thickness variation &mould vibration ,11:30,12:45,1.25,B/D,Mechanical,,"Spigot side Vibration due to which thickness variation of 1mm to 2mm (Sl.No 2 of DN 600 - DN 600-800 sleeve), after producing two pipes",Sleeve Changed
1283,Core loader,Core loader,Core loader centering check,14:47,14:51,0.07,B/D,Mechanical,,,
1284,Mould,Mould,water leakage from spt side ,14:05,14:33,0.47,B/D,Mechanical,,,
1285,Mould,Mould,water leakage from spt side ,14:41,14:50,0.15,B/D,Mechanical,,,
1286,Mould,Mould,water leakage from spt side ,15:07,15:35,0.47,B/D,Mechanical,,Spigot Side Water Leakage due to Clamping Plate Problem (Old Guard was outside the plate),Clamping Plate changed and OK in trial
1287,MTC,MTC,MTC gland tight ,10:35,11:35,1,B/D,Mechanical,,MTC Oil Leakage from Gland,Leakage Reduced by inserting Seal Packing
1288,MTC,MTC,MTC gland tight ,16:45,17:00,0.25,B/D,Mechanical,,,
1289,trough,trough,A side trough pressing not working ,19:10,19:20,0.17,B/D,Mechanical,,,
1290,Mould,Mould,mould change due to mould vibration,12:32,13:26,0.9,B/D,Mechanical,,Thickness Variation of 1mm at spigot due to Mould Vibration (Sl. No 2 Mould No. 92),Sleeve Changed
1291,Mould,Mould,water leakage from spt side ,21:00,21:14,0.23,B/D,Mechanical,,,
1292,Mould,Mould,water leakage from spt side ,5:52,6:00,0.13,B/D,Mechanical,,,
1293,diabola ,diabola ,diabola v roller open out ,13:30,14:35,1.08,B/D,Mechanical,,,
1294,Mould,Mould,water leakage from spt side ,6:00,6:40,0.67,B/D,Mechanical,,,
1295,Mould,Mould,water leakage from spt side ,21:11,21:52,0.68,B/D,Mechanical,,Water Leakage from Spigot Seal as metal got inside due to which seal was damaged,Water leakage didn't arrested by scaling so seal changed
1296,trough,trough,A side trough tilting hose pipe change,15:40,16:00,0.33,B/D,Mechanical,,,
1297,trough,trough,A side trough supporting roller change ,9:05,9:50,0.75,B/D,Mechanical,,Drawn Pipe as both side Trough supporting roller were not rotating properly ,Both Rollers changed
1298,PTT,PTT,PTT not moving ,14:16,14:32,0.27,B/D,Mechanical,,,
1299,Accumulator,Accumulator,hydrulic oil leakage from aquimlater cylinder hose ,9:53,10:35,0.7,B/D,Mechanical,,Huge Oil Leakage from MTC stand Accumulator Dummy Fitting as fitting came out while it was tried to tighten as it was loose,Spare fitting was not fitting so Fitting Welded
1300,flag gate,flag gate,pipe lifting arm prob ,23:30,23:45,0.25,B/D,Mechanical,,,
1301,Mould,Mould,Mould change,23:45,2:20,2.58,B/D,Mechanical,,,
1302,trough,trough,A side trough pressing not working ,14:09,14:16,0.12,B/D,Mechanical,,,
1303,Core loader,Core loader,Core loader compressure spring broken ,17:09,17:26,0.28,B/D,Mechanical,,Core Loader Spring Broken,Core Loader Changed
1304,Mould,Mould,water leakage from skt side ,17:50,18:45,0.92,B/D,Mechanical,,Water Leakage from HB No.1 due to V-Seal,Sleeve Change
1305,Core loader,Core loader,Core loader centering out,18:45,19:20,0.58,B/D,Mechanical,,,
1306,PTT,PTT,PTT not moving ,23:09,23:22,0.22,B/D,Mechanical,,,
1307,trough,trough,trough shifting prob ,19:15,20:06,0.85,B/D,Mechanical,,,
1308,Mould,Mould,water leakage from spt side ,22:07,22:24,0.28,B/D,Mechanical,,,
1309,Mould,Mould,water leakage from spt side ,22:36,22:44,0.13,B/D,Mechanical,,,
1310,Mould,Mould,water leakage from spt side ,22:07,22:24,0.28,B/D,Mechanical,,,
1311,Mould,Mould,water leakage from spt side ,23:09,0:00,0.85,B/D,Mechanical,,Water Leakage from Spigot Mould Seal as Metal got inside due to fixing of Guard near to Spigot Seal on Plate due to which Seal got Damaged,Seal Changed and Metal Guard was properly fixed
1312,Core loader,Core loader,Core loader centering checked,23:43,23:52,0.15,B/D,Mechanical,,,
1313,dial gauge ,dial gauge ,dial gauge check,0:28,0:32,0.07,B/D,Mechanical,,,
1314,Extractor ,Extractor ,Extractor centering & trough height adjustment,23:45,0:37,0.87,B/D,Mechanical,,,
1315,Core loader,Core loader,Core loader housing change,7:22,7:33,0.18,B/D,Mechanical,,,
1316,Core loader,Core loader,Core loader centering done,8:41,9:00,0.32,B/D,Mechanical,,,
1317,Core loader,Core loader,Core loader centering checked,9:35,9:52,0.28,B/D,Mechanical,,Core Burst,Centering Done and Compression set at 0.13mm
1318,sector ladle ,sector ladle ,sector ladle lip broken,21:35,22:05,0.5,B/D,Mechanical,,,
1319,flag gate ,flag gate ,flag gate height adjustment ,20:48,20:54,0.1,B/D,Mechanical,,,
1320,Extractor ,Extractor ,Extractor centering check,21:32,21:39,0.12,B/D,Mechanical,,,
1321,Extractor ,Extractor ,Extractor centering done ,9:00,9:40,0.67,B/D,Mechanical,,,
1322,Core loader,Core loader,Core loader spring broken,18:55,19:06,0.18,B/D,Mechanical,,Core loader Spring Broken,Core loader unit changed and OK in trial
1323,PTT,PTT,PTT prob,18:40,19:15,0.58,B/D,Mechanical,,,
1324,PTT,PTT,PTT  rope prob,18:00,18:15,0.25,B/D,Mechanical,,Rope One Layer Damage,Rope Cutting work Done
1325,PTT,PTT,PTT  prob,18:40,18:58,0.3,B/D,Mechanical,,Rope One Layer Damage,Rope Cutting work Done
1326,Mould,Mould,water leakage from spt side ,23:28,23:38,0.17,B/D,Mechanical,,,
1327,Mould,Mould,water leakage from spt side ,2:53,2:58,0.08,B/D,Mechanical,,,
1328,Mould,Mould,water leakage from spt side ,3:37,4:53,1.27,B/D,Mechanical,,,
1329,Mould,Mould,water leakage from spt side ,17:28,18:05,0.62,B/D,Mechanical,,Spigot side Water Leakage-due to metal,Seal Changing (Twice) and scaleing done (Once)
1330,Mould,Mould,water leakage from spt side ,19:00,19:10,0.17,B/D,Mechanical,,,
1331,Core loader,Core loader,Core loader prob,19:52,20:12,0.33,B/D,Mechanical,,,
1332,Mould,Mould,water leakage from spt side ,20:13,21:10,0.95,B/D,Mechanical,,Spigot side Water Leakage-due to metal,Seal Changing (Twice) and scaleing done (Once)
1333,Bolt,Bolt,A side stud bolt jam ,22:20,22:40,0.33,B/D,Mechanical,,,
1334,uli unit,uli unit,dry uli dropping prob,19:37,20:00,0.38,B/D,Mechanical,,Chute Powder Fluctuation,Lock Nut adjusted and then OK in trial
1335,Mould,Mould,water leakage from spt side ,11:00,11:25,0.42,B/D,Mechanical,,,
1336,Mould,Mould,mould r.p.m prob,7:00,7:55,0.92,B/D,Mechanical,,,
1337,Mould,Mould,water leakage from spt side ,11:35,11:45,0.17,B/D,Mechanical,,,
1338,Core loader,Core loader,Core loader centering prob,2:23,2:30,0.12,B/D,Mechanical,,Core crack as core was touching core loader as housing lock bolt thread damage,Core loader adjustment done and one bolt thighten
1339,Mould,Mould,water leakage from spt side ,1:23,1:37,0.23,B/D,Mechanical,,,
1340,Extractor ,Extractor ,Extractor centering done ,18:10,18:50,0.67,B/D,Mechanical,,,
1341,trough ,trough ,B side trough supporting roller change ,11:00,11:20,0.33,B/D,Mechanical,,B-side Trough Supporting Roller Jam,Roller Change
1342,MTC ,MTC ,MTC gland tighting ,14:57,15:45,0.8,B/D,Mechanical,,,
1343,trough ,trough ,B side trough tilting prob ,9:13,12:30,3.28,B/D,Mechanical,,B-side Trough not Tilting ,"5° to 10° tilting after jerk, not tilting so cylinder change but problem didn't resolve. Bearing Greesing then OK in trial"
1344,Core loader,Core loader,Core loader spring broken,14:25,14:36,0.18,B/D,Mechanical,,,
1345,Mould,Mould,water leakage from spt side ,18:00,18:04,0.07,B/D,Mechanical,,,
1346,PTT,PTT,PTT prob,3:15,3:56,0.68,B/D,Mechanical,,,
1347,Core loader,Core loader,Core loader spring broken,20:36,20:50,0.23,B/D,Mechanical,,,
1348,pump,pump,pump 3 start up & casting time varriation ,19:12,20:42,1.5,B/D,Mechanical,,Casting Time Variation,"Pump No-3 was connected & pressure set at 70kg/cm^2 (Casting Time: 25.8 to 26.4s), Individual Pump Pressure checked (All at 70kg/cm^2), No Internal Leakage in MTC. Electrical person checked Feedback System and automatically casting Time coming constant at 21.3s."
1349,dial gauge ,dial gauge ,dial gauge check,9:00,9:05,0.08,B/D,Mechanical,,,
1350,dial gauge ,dial gauge ,dial gauge check,17:40,17:44,0.07,B/D,Mechanical,,,
1351,PTT,PTT,PTT prob,23:32,1:22,1.83,B/D,Mechanical,,PTT movement some time stop due to high motor current,Abnormal Sound from Gearbox Motor so Motor Change and then OK in trial
1352,Mould,Mould,water leakage from spt side ,18:09,18:15,0.1,B/D,Mechanical,,,
1353,Mould,Mould,water leakage from spt side ,22:52,22:59,0.12,B/D,Mechanical,,,
1354,Mould,Mould,water leakage from spt side ,23:12,0:28,1.27,B/D,Mechanical,,Water Leakage from spigot mould seal,Arrested by scaling but machine didn't start so seal changed
1355,Mould,Mould,water leakage from spt side ,1:40,2:12,0.53,B/D,Mechanical,,Water Leakage from spigot mould seal,Disn't arrested by scaling so seal change and metal guard ring provided in seal plate
1356,Mould,Mould,water leakage from spt side ,20:52,22:11,1.32,B/D,Mechanical,,Water Leakage from spigot Mould Seal as metal got inside the seal,Tried to arrest by scaling but failed so decided to change seal but casting decided to change sleeve
1357,trough ,trough ,B side trough pressing roller change ,7:15,7:30,0.25,B/D,Mechanical,,B-Side trough Pressing roller Jam,Roller Changed
1358,MTC ,MTC ,MTC oil leakage ,10:16,11:00,0.73,B/D,Mechanical,,,
1359,Mould,Mould,Mould pressing roller change ,11:30,11:52,0.37,B/D,Mechanical,,,
1360,uli unit,uli unit,dry uli dropping prob,13:17,15:25,2.13,B/D,Mechanical,,,
1361,Mould,Mould,mould change due to water leakage from spt side ,17:00,18:50,1.83,B/D,Mechanical,,,
1362,Mould,Mould,water leakage from spt side ,19:15,20:50,1.58,B/D,Mechanical,,Water Leakage from spigot O-Ring (Sleeve - 7),"Sleeve tried to centered but water still leaking, so sleeve was removed and in both groove 12mm O-ring was fixed. OK in trial"
1363,PTT,PTT,PTT prob,10:19,10:23,0.07,B/D,Mechanical,,,
1364,trough ,trough ,"B side trough supporting  roller jam , it change.",13:33,13:48,0.25,B/D,Mechanical,,,
1365,Mould,Mould,water leakage from spt side ,15:55,16:50,0.92,B/D,Mechanical,,Huge water leakage from spigot mould seal as huge amount of metal got inside as metal guard was welded near seal area at bottom,Seal changed and metal guard was removed
1366,Core loader,Core loader,Core loader spring broken,20:30,20:38,0.13,B/D,Mechanical,,Core Loader Spring Broken,"Core Loader Changed, compression set at 10mm"
1367,Mould,Mould,water leakage from spt side ,22:05,22:38,0.55,B/D,Mechanical,,"Water leakage from spigot mould seal due to metal inseat which damaged seal lip (Sleeve-9), Approx 6mm metal inside of double seal plate at spigot end of mould",Seal Changed
1368,trough ,trough ,trough roller not rotating,6:25,6:45,0.33,B/D,Mechanical,,Trough Supporting Roller Metal Jam on both side,B-side roller change and A-side Metal cleaned
1369,trough ,trough ,A side trough supporting roller change ,14:24,14:50,0.43,B/D,Mechanical,,,
1370,Mould,Mould,water leakage from spt side ,4:51,4:54,0.05,B/D,Mechanical,,,
1371,Mould,Mould,water leakage from spt side ,5:26,5:31,0.08,B/D,Mechanical,,,
1372,Diabola ,Diabola ,Diabola Wheel derailed,15:02,16:13,1.18,B/D,Mechanical,,Diabola Trolley derailed and fell off due to metal/ dust deposition on V-rail,Diabola trolley replaced and area cleaned
1373,trough ,trough ,A side trough centering done,4:44,5:09,0.42,B/D,Mechanical,,,
1374,Ring,Ring,skt side O ring change ,19:25,19:40,0.25,B/D,Mechanical,,,
1375,Mould,Mould,water leakage from spt side ,2:32,2:40,0.13,B/D,Mechanical,,,
1376,Mould,Mould,water leakage from spt side ,3:15,4:06,0.85,B/D,Mechanical,,Water Leakage from spigot side due to metal contact (DN250),Failed to arrest by scaling so Seal changed
1377,PTT,PTT,PTT rope change,1:40,1:50,0.17,B/D,Mechanical,,,
1378,Extractor ,Extractor ,Extractor & core loader check,21:07,21:12,0.08,B/D,Mechanical,,,
1379,Mould,Mould,water leakage from spt side ,10:00,10:25,0.42,B/D,Mechanical,,,
1380,Mould,Mould,water leakage from spt side ,0:15,1:34,1.32,B/D,Mechanical,,Water leakage from spigot side due to metal deposit and insertion which damaged seal,Metal cleaned (00:15 to 1:15) and seal changed (1:15 to 1:30)
1381,Mould,Mould,water leakage from spt side ,9:32,9:37,0.08,B/D,Mechanical,,,
1382,ccm,ccm,m/c stop during casting time,14:58,15:44,0.77,B/D,Mechanical,,Casting Time Increased to 30.1s,Pump Pressure Increased from 70kgf/cm^2 to 75kgf/cm^2 and then time reduced to 28.5s (MTC Internal Leakage Checked)
1383,Mould,Mould,water leakage from spt side ,20:07,20:20,0.22,B/D,Mechanical,,,
1384,Mould,Mould,water leakage from spt side ,21:42,23:00,1.3,B/D,Mechanical,,Water Leakage from Spigot Seal as metal got inside due to which seal was damaged,Seal Changed
1385,trough ,trough ,trough shifting prob ,3:35,3:47,0.2,B/D,Mechanical,,,
1386,Mould,Mould,mould sleeve insert +skt side o ring open out ,20:40,21:32,0.87,B/D,Mechanical,,,
1387,Core loader/extractor,Core loader/extractor,Core loader/extractor centering done ,21:32,22:07,0.58,B/D,Mechanical,,,
1388,Mould,Mould,water leakage from spt side ,8:13,8:25,0.2,B/D,Mechanical,,,
1389,Mould,Mould,water leakage from spt side ,9:00,10:15,1.25,B/D,Mechanical,,,
1390,Diabola ,Diabola ,Diabola Wheel derailed,6:05,7:12,1.12,B/D,Mechanical,,Diabola Trolley Derailed due to Metal formation beneath the trolley,Metal Remaoved and trolley repositioned. Metal Guard couldn't be fitted as it was made incorrect
1391,Core loader,Core loader,Core loader centering checked,6:55,7:05,0.17,B/D,Mechanical,,,
1392,ccm,ccm,m/c stop during casting time,5:00,6:00,1,B/D,Mechanical,,,
1393,trough ,trough ,A side trough supporting roller change ,1:42,2:09,0.45,B/D,Mechanical,,Trough supporting Roller Rotation Jam,Roller Changed
1394,Mould,Mould,water leakage from spt side ,16:56,17:09,0.22,B/D,Mechanical,,,
1395,Mould,Mould,water leakage from spt side ,2:54,3:30,0.6,B/D,Mechanical,,Spigot Water Leakage,Seal Changed as Leakage wasn't arrested from scaling
1396,MTC,MTC,MTC change,6:00,19:07,13.12,B/D,Mechanical,,MTC Eye Broken,MTC changed with modified Eye
1397,Mould,Mould,water leakage from spt side ,10:30,11:00,0.5,B/D,Mechanical,,,
1398,MTC,MTC,MTC gland bolt tight,4:30,4:55,0.42,B/D,Mechanical,,,
1399,trough ,trough ,B side trough supporting roller change ,5:58,6:16,0.3,B/D,Mechanical,,Trough Supporting Roller Jam,Roller Change
1400,uli unit,uli unit,Dry uli tank vibrator not working,4:30,5:20,0.83,B/D,Mechanical,,,
1401,dial gauge ,dial gauge ,dial gauge check,3:24,3:29,0.08,B/D,Mechanical,,Thickness Variation at Socket side,Dial Reading Alignment done
1402,flag gate ,flag gate ,Skt side flag gate bolt open out.,4:05,4:30,0.42,B/D,Mechanical,,,
1403,Core loader,Core loader,Core loader spring broken,13:45,13:53,0.13,B/D,Mechanical,,,
1404,Mould,Mould,water leakage from spt side ,15:35,15:40,0.08,B/D,Mechanical,,,
1405,Core loader,Core loader,Core loader spring broken,3:45,3:55,0.17,B/D,Mechanical,,Core Loader Spring Broken,Core Loader Changed
1406,Core loader,Core loader,Core loader centering done,16:52,17:37,0.75,B/D,Mechanical,,,
1407,trough ,trough ,B side trough supporting roller change ,2:40,3:00,0.33,B/D,Mechanical,,,
1408,Mould,Mould,mould change due to water leakage from spt side ,4:10,5:06,0.93,B/D,Mechanical,,Head Bearing V-Seal Damaged (HB No.1),Sleeve Changed (After 20 Pipes)
1409,trough ,trough ,B side trough supporting roller not moving ,5:37,6:00,0.38,B/D,Mechanical,,B-Side Trough Supporting Roller Jam,Roller Changed
1410,PTT,PTT,PTT prob,15:22,16:00,0.63,B/D,Mechanical,,PTT Movement Problem due to Metal and sand Jam at Non-drive end Pulley,Jam Cleaned and Double Pulley Change
1411,Mould,Mould,mould r.p.m prob,17:00,17:08,0.13,B/D,Mechanical,,,
1412,Mould,Mould,Mould change due to mould r.p.m. prob,18:20,19:20,1,B/D,Mechanical,,,
1413,sector ladle ,sector ladle ,sector ladle cam roller prob,19:30,19:55,0.42,B/D,Mechanical,,,
1414,trough ,trough ,B side trough supporting roller prob,3:20,3:35,0.25,B/D,Mechanical,,,
1415,trough ,trough ,B side trough supporting roller change,6:00,6:20,0.33,B/D,Mechanical,,,
1416,Mould,Mould,Mould change due to mould r.p.m. prob,13:44,14:40,0.93,B/D,Mechanical,,,
1417,Core loader,Core loader,Core loader spring broken,8:28,8:38,0.17,B/D,Mechanical,,Core Loader Spring Broken,Core Loader Changed (Comp. 11mm)
1418,Core loader,Core loader,Core loader spring broken,12:40,12:57,0.28,B/D,Mechanical,,,
1419,flag gate ,flag gate ,Both flag gate height adjustment ,22:50,22:55,0.08,B/D,Mechanical,,,
1420,trough ,trough ,trough tillting prob ,7:10,7:40,0.5,B/D,Mechanical,,A-Side Trough Tilting Jam,Flow Increased and Tilted by crane and then FlowReduced. OK in trial
1421,Extractor ,Extractor ,Extractor centering done ,0:30,0:55,0.42,B/D,Mechanical,,,
1422,core loader ,core loader ,Core loader spring broken,9:20,9:27,0.12,B/D,Mechanical,,Core Loader Spring Broken,Core Loader Housing Changed
1423,core loader ,core loader ,Core loader spring broken,13:32,13:38,0.1,B/D,Mechanical,,Core Loader Spring Broken,Core Loader Housing Changed & Compression set at 14mm
1424,ccm,ccm,m/c auto not,13:40,14:39,0.98,B/D,Mechanical,,,
1425,Mould,Mould,mould r.p.m prob,6:00,6:18,0.3,B/D,Mechanical,,,
1426,Mould,Mould,mould r.p.m prob,7:24,7:44,0.33,B/D,Mechanical,,Mould Rotation Jam (SL.5 DN100),Manually Rotated & Checked - Found OK
1427,Mould,Mould,Mould change due to moluld jam prob,10:00,10:55,0.92,B/D,Mechanical,,Mould Rotation Jam (SL.5 DN100),Manually Rotated & Checked - Found OK
1428,PTT,PTT,PTT rope change,11:00,11:20,0.33,B/D,Mechanical,,,
1429,Mould,Mould,Mould change due to moluld jam prob,19:11,19:45,0.57,B/D,Mechanical,,,
1430,trough ,trough ,B side trough supporting roller change,14:56,15:27,0.52,B/D,Mechanical,,B-side Trough Supporting Roller Jam,Roller Changing work done
1431,Extractor ,Extractor ,Extractor stoper broken,23:00,23:15,0.25,B/D,Mechanical,,Extractor Stopper Broken,Stopper Fixing and two side angle welding done
1432,flag gate ,flag gate ,Skt side flag gate movement prob,0:00,0:35,0.58,B/D,Mechanical,,Flaggate (Socket side) not rotating as rope way out,New Rope Provided and clamped tight. OK in trial
1433,Extractor ,Extractor ,Extractor change,10:40,11:10,0.5,B/D,Mechanical,,Extractor Square Block One Bolt Broken due to which extractor not closing properly which damaged face of two pipes,Extractor Change
1434,Mould,Mould,mould change due to mould vibration,12:17,13:20,1.05,B/D,Mechanical,,Spigot side Mould heavy Ploy (Sl.2),Mould Change
1435,Extractor ,Extractor ,extractor not get back position ,15:30,16:30,1,B/D,Mechanical,,Extractor Movement Cylinder Eye Came Out,Same Eye Fixing and full tightening Work Done. OK in Trial
1436,trough ,trough ,B side trough supporting roller change ,21:43,22:00,0.28,B/D,Mechanical,,,
1437,trough ,trough ,Both side trough tilting prob,9:55,10:06,0.18,B/D,Mechanical,,,
1438,trough ,trough ,Both side trough tilting prob,22:20,22:45,0.42,B/D,Mechanical,,,
1439,Core loader ,Core loader ,Core Loader Spring Broken,12:46,12:56,0.17,B/D,Mechanical,,Core Loader Spring Broken,Core Loader Unit Changed and compression set at 15mm
1440,fallchute ,fallchute ,fallchute stopper plate welding,1:00,1:30,0.5,B/D,Mechanical,,,
1441,PTT,PTT,PTT  prob,13:44,14:35,0.85,B/D,Mechanical,,PTT Movement Stop,
1442,PTT,PTT,PTT  prob,17:00,17:25,0.42,B/D,Mechanical,,,
1443,Mould,Mould,mould vibration,18:55,19:32,0.62,B/D,Mechanical,,,
1444,Extractor ,Extractor ,Extractor Center Out after Mould Change,22:25,23:15,0.83,B/D,Mechanical,,Extractor Center Out after Mould Change,Extractor centering done from base
1445,Mould,Mould,mould change due to mould vibration,20:24,21:51,1.45,B/D,Mechanical,,,
1446,DC motor ,DC motor ,DC motor blower base welding ,23:03,23:33,0.5,B/D,Mechanical,,,
1447,Mould,Mould,mould vibration,0:18,1:00,0.7,B/D,Mechanical,,Socket clamping plate one stud broken and other stud got loose,All stud bolt tighten
1448,Extractor ,Extractor ,Extractor change,6:00,7:10,1.17,B/D,Mechanical,,Pipe Crack in previous sleeve so extractor change after sleeve change,Extractor Opening found 240mm so  extractor removed with 20mm packing provided then while checking found 220mm. Extractor stopper welded and trial taken OK
1449,Core loader,Core loader,Core loader centering done,17:15,17:25,0.17,B/D,Mechanical,,,
1450,core loader ,core loader ,core loader spring broken,18:05,18:15,0.17,B/D,Mechanical,,Core Loader Spring Broken,New Core Ring Changing work done
1451,core loader ,core loader ,core loader not working ,21:50,22:36,0.77,B/D,Mechanical,,,
1452,core loader ,core loader ,core loader ring open out,5:06,5:35,0.48,B/D,Mechanical,,,
1453,core loader ,core loader ,core loader prob,5:55,6:00,0.08,B/D,Mechanical,,,
1454,trough ,trough ,B side trough pressing roller change ,3:10,3:46,0.6,B/D,Mechanical,,,
1455,trough ,trough ,A side trough shifting prob ,7:19,7:30,0.18,B/D,Mechanical,,,
